Betreiber;Anzeigename (Karte);Straße;Hausnummer;Adresszusatz;Postleitzahl;Ort;Kreis/kreisfreie Stadt;Bundesland;Breitengrad;Längengrad;Inbetriebnahmedatum;Nennleistung Ladeeinrichtung [kW];Art der Ladeeinrichung;Anzahl Ladepunkte;Steckertypen1;P1 [kW];Public Key1;Steckertypen2;P2 [kW];Public Key2;Steckertypen3;P3 [kW];Public Key3;Steckertypen4;P4 [kW];Public Key4;Steckertypen5;P5 [kW];Public Key5;Steckertypen6;P6 [kW];Public Key6
Berliner Stadtwerke KommunalPartner GmbH;Berliner Stadtwerke KommunalPartner GmbH;Leipziger Platz;19;;01011;Berlin;Kreisfreie Stadt Berlin;Berlin;52,510055;13,377592;30.06.23;30;Normalladeeinrichtung;2;AC Typ 2 Steckdose;22;;AC Typ 2 Steckdose;22;;;;;;;;;;;;;
Couche-Tard Deutschland GmbH & Co.KG;Circle K Deutschland;Storkower Str.;175;T175-IT1-1322-212;01036;Berlin;Kreisfreie Stadt Berlin;Berlin;52,52742;13,457838;06.03.23;175;Schnellladeeinrichtung;1;"DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO";175;;;;;;;;;;;;;;;;
Berliner Stadtwerke KommunalPartner GmbH;Berliner Stadtwerke KommunalPartner GmbH;Uhlandstr.;177;;01062;Berlin;Kreisfreie Stadt Berlin;Berlin;52,502775;13,325383;18.01.23;30;Normalladeeinrichtung;2;AC Typ 2 Steckdose;22;;AC Typ 2 Steckdose;22;;;;;;;;;;;;;
Berliner Stadtwerke KommunalPartner GmbH;Berliner Stadtwerke KommunalPartner GmbH;Soldiner Str.;63;;01335;Berlin;Kreisfreie Stadt Berlin;Berlin;52,56053;13,37938;07.08.23;30;Normalladeeinrichtung;2;AC Typ 2 Steckdose;22;;AC Typ 2 Steckdose;22;;;;;;;;;;;;;
Berliner Stadtwerke KommunalPartner GmbH;Berliner Stadtwerke KommunalPartner GmbH;Barmbecker Weg;1;;01359;Berlin;Kreisfreie Stadt Berlin;Berlin;52,533317;13,154536;28.06.23;30;Normalladeeinrichtung;2;AC Typ 2 Steckdose;22;;AC Typ 2 Steckdose;22;;;;;;;;;;;;;
Berliner Stadtwerke KommunalPartner GmbH;Berliner Stadtwerke KommunalPartner GmbH;Viktoria-Ufer;9;;01359;Berlin;Kreisfreie Stadt Berlin;Berlin;52,53877;13,20252;30.06.23;30;Normalladeeinrichtung;2;AC Typ 2 Steckdose;22;;AC Typ 2 Steckdose;22;;;;;;;;;;;;;
Berliner Stadtwerke KommunalPartner GmbH;Berliner Stadtwerke KommunalPartner GmbH;Koppenplatz;11;;10115;Berlin;Kreisfreie Stadt Berlin;Berlin;52,528513;13,397279;04.04.23;30;Normalladeeinrichtung;2;AC Typ 2 Steckdose;22;;AC Typ 2 Steckdose;22;;;;;;;;;;;;;
Berliner Stadtwerke KommunalPartner GmbH;Berliner Stadtwerke KommunalPartner GmbH;Schröderstr.;9;;10115;Berlin;Kreisfreie Stadt Berlin;Berlin;52,530867;13,39438;17.03.20;22;Normalladeeinrichtung;2;AC Typ 2 Steckdose;11;;AC Typ 2 Steckdose;11;;;;;;;;;;;;;
Berliner Stadtwerke KommunalPartner GmbH;Berliner Stadtwerke KommunalPartner GmbH;Ruppiner Str.;5;;10115;Berlin;Kreisfreie Stadt Berlin;Berlin;52,538244;13,399732;24.06.20;22;Normalladeeinrichtung;2;AC Typ 2 Steckdose;11;;AC Typ 2 Steckdose;11;;;;;;;;;;;;;
Berliner Stadtwerke KommunalPartner GmbH;Berliner Stadtwerke KommunalPartner GmbH;Hannoversche Str.;6;;10115;Berlin;Kreisfreie Stadt Berlin;Berlin;52,527262;13,383475;02.06.20;22;Normalladeeinrichtung;2;AC Typ 2 Steckdose;11;;AC Typ 2 Steckdose;11;;;;;;;;;;;;;
